,precision,recall,f1-score,support
ang,0.41509433962264153,0.5176470588235295,0.4607329842931937,170.0
angry_frustrated,0.6482889733840305,0.5680966264056643,0.6055493895671477,2401.0
exc,0.3597560975609756,0.19732441471571907,0.2548596112311015,299.0
fea,0.0,0.0,0.0,10.0
fru,0.34234234234234234,0.3989501312335958,0.36848484848484847,381.0
hap,0.1724137931034483,0.03496503496503497,0.05813953488372093,143.0
happy_excited,0.3347141673570837,0.33835845896147404,0.3365264473136193,1194.0
neu,0.39148073022312374,0.5026041666666666,0.44013683010262256,384.0
neutral,0.40093240093240096,0.38972809667673713,0.3952508617387974,1324.0
sad,0.48997926744989634,0.6540590405904059,0.5602528644804425,1084.0
sur,0.1111111111111111,0.1111111111111111,0.1111111111111111,18.0
accuracy,0.4713822894168467,0.4713822894168467,0.4713822894168467,0.4713822894168467
macro avg,0.33328302028064133,0.33753128546817623,0.3264585893824187,7408.0
weighted avg,0.47296326698543295,0.4713822894168467,0.46714494642151716,7408.0
